2017/11/29	2.09	-1.04%
2017/11/30	2.047	-2.06%
2017/12/1	2.065	0.88%
2017/12/4	2.102	1.79%
2017/12/5	2.086	-0.76%
2017/12/6	2.085	-0.05%
2017/12/7	2.052	-1.58%
2017/12/8	2.098	2.24%
2017/12/11	2.162	3.05%
2017/12/12	2.143	-0.88%
2017/12/13	2.167	1.12%
2017/12/14	2.169	0.09%
2017/12/15	2.138	-1.43%
2017/12/18	2.136	-0.09%
